GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RetrouvTout Backend,com.retrouvtout.exception,ResourceNotFoundException,37,0,0,0,8,0,4,0,4,0
RetrouvTout Backend,com.retrouvtout.exception,BadRequestException,9,0,0,0,4,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.exception,OAuth2AuthenticationProcessingException,9,0,0,0,4,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.exception,GlobalExceptionHandler,375,0,22,0,77,0,24,0,13,0
RetrouvTout Backend,com.retrouvtout.exception,AppException,9,0,0,0,4,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.dto.response,ListingResponse,94,0,0,0,27,0,27,0,27,0
RetrouvTout Backend,com.retrouvtout.dto.response,AuthResponse,56,0,0,0,18,0,12,0,12,0
RetrouvTout Backend,com.retrouvtout.dto.response,PagedResponse,46,0,0,0,15,0,10,0,10,0
RetrouvTout Backend,com.retrouvtout.dto.response,MessageResponse,59,0,0,0,17,0,17,0,17,0
RetrouvTout Backend,com.retrouvtout.dto.response,ApiResponse,67,0,0,0,19,0,13,0,13,0
RetrouvTout Backend,com.retrouvtout.dto.response,UserResponse,66,0,0,0,19,0,19,0,19,0
RetrouvTout Backend,com.retrouvtout.dto.response,ThreadResponse,87,0,0,0,25,0,25,0,25,0
RetrouvTout Backend,com.retrouvtout.util,ModelMapper,306,0,18,0,72,0,16,0,7,0
RetrouvTout Backend,com.retrouvtout.util,AppConstants,107,0,0,0,7,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.util,StringUtils,356,0,30,0,44,0,27,0,12,0
RetrouvTout Backend,com.retrouvtout.util,ValidationUtils,134,0,36,0,22,0,25,0,7,0
RetrouvTout Backend,com.retrouvtout.security,JwtTokenProvider,242,0,0,0,71,0,11,0,11,0
RetrouvTout Backend,com.retrouvtout.security,JwtAuthenticationFilter,72,0,8,0,18,0,7,0,3,0
RetrouvTout Backend,com.retrouvtout.security,CustomUserDetailsService,75,0,3,0,18,0,8,0,6,0
RetrouvTout Backend,com.retrouvtout.security,JwtAuthenticationEntryPoint,57,0,0,0,13,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.security,UserPrincipal,141,0,9,0,39,0,21,0,16,0
RetrouvTout Backend,com.retrouvtout.service,ListingService,538,0,48,0,114,0,46,0,22,0
RetrouvTout Backend,com.retrouvtout.service,SmsService,157,0,42,0,39,0,26,0,5,0
RetrouvTout Backend,com.retrouvtout.service,NotificationService,216,0,16,0,50,0,14,0,6,0
RetrouvTout Backend,com.retrouvtout.service,MessageService,683,0,28,0,172,0,27,0,13,0
RetrouvTout Backend,com.retrouvtout.service,FileUploadService,435,0,28,0,84,0,32,0,18,0
RetrouvTout Backend,com.retrouvtout.service,ThreadService,309,0,16,0,63,0,20,0,12,0
RetrouvTout Backend,com.retrouvtout.service,MessageService.NotificationMessage,33,0,0,0,11,0,7,0,7,0
RetrouvTout Backend,com.retrouvtout.service,AuthService,449,0,28,0,110,0,23,0,9,0
RetrouvTout Backend,com.retrouvtout.service,EmailService,185,0,10,0,53,0,12,0,7,0
RetrouvTout Backend,com.retrouvtout.service,UserService,401,0,18,0,79,0,34,0,25,0
RetrouvTout Backend,com.retrouvtout.websocket,NotificationMessage,132,0,0,0,35,0,25,0,25,0
RetrouvTout Backend,com.retrouvtout.websocket,UserPresence,53,0,0,0,17,0,12,0,12,0
RetrouvTout Backend,com.retrouvtout.websocket,WebSocketResponse,72,0,0,0,22,0,14,0,14,0
RetrouvTout Backend,com.retrouvtout.websocket,ReadStatusMessage,26,0,0,0,9,0,6,0,6,0
RetrouvTout Backend,com.retrouvtout.websocket,ChatMessage,107,0,0,0,35,0,19,0,19,0
RetrouvTout Backend,com.retrouvtout.websocket,WebSocketEventListener,48,0,4,0,15,0,5,0,3,0
RetrouvTout Backend,com.retrouvtout.websocket,TypingMessage,43,0,0,0,14,0,10,0,10,0
RetrouvTout Backend,com.retrouvtout.websocket,WebSocketController.ErrorMessage,23,0,0,0,8,0,5,0,5,0
RetrouvTout Backend,com.retrouvtout.websocket,WebSocketEventListener.UserStatusMessage,33,0,0,0,11,0,7,0,7,0
RetrouvTout Backend,com.retrouvtout.websocket,WebSocketController,128,0,12,0,39,0,10,0,4,0
RetrouvTout Backend,com.retrouvtout.controller,UploadController.UploadResponse,16,0,0,0,7,0,4,0,4,0
RetrouvTout Backend,com.retrouvtout.controller,UserController.UpdateUserRequest,24,0,0,0,7,0,7,0,7,0
RetrouvTout Backend,com.retrouvtout.controller,FileController,130,0,13,0,30,0,12,0,4,0
RetrouvTout Backend,com.retrouvtout.controller,UserController,246,0,18,0,61,0,14,0,5,0
RetrouvTout Backend,com.retrouvtout.controller,UserController.ChangePasswordRequest,17,0,0,0,5,0,5,0,5,0
RetrouvTout Backend,com.retrouvtout.controller,AuthController,410,0,36,0,84,0,25,0,7,0
RetrouvTout Backend,com.retrouvtout.controller,UploadController,177,0,16,0,43,0,11,0,3,0
RetrouvTout Backend,com.retrouvtout.controller,DatabaseTestController,439,0,10,0,99,0,13,0,8,0
RetrouvTout Backend,com.retrouvtout.controller,DebugTestController,279,0,10,0,52,0,12,0,7,0
RetrouvTout Backend,com.retrouvtout.controller,ListingController,301,0,18,0,67,0,15,0,6,0
RetrouvTout Backend,com.retrouvtout.controller,MessageController,533,0,32,0,124,0,22,0,6,0
RetrouvTout Backend,com.retrouvtout.controller,TestController,89,0,0,0,20,0,5,0,5,0
RetrouvTout Backend,com.retrouvtout.controller,HealthController,369,0,18,0,70,0,14,0,5,0
RetrouvTout Backend,com.retrouvtout.controller,ThreadController,304,0,22,0,71,0,16,0,5,0
RetrouvTout Backend,com.retrouvtout.security.oauth2,OAuth2AuthenticationSuccessHandler,53,0,2,0,13,0,4,0,3,0
RetrouvTout Backend,com.retrouvtout.security.oauth2,CustomOAuth2UserService,138,0,4,0,34,0,7,0,5,0
RetrouvTout Backend,com.retrouvtout.security.oauth2,CustomOAuth2UserService.OAuth2UserPrincipal,26,0,0,0,7,0,3,0,3,0
RetrouvTout Backend,com.retrouvtout.security.oauth2,OAuth2AuthenticationFailureHandler,26,0,0,0,6,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.security.oauth2.user,OAuth2UserInfoFactory,27,0,4,0,6,0,4,0,2,0
RetrouvTout Backend,com.retrouvtout.security.oauth2.user,OAuth2UserInfo,9,0,0,0,4,0,2,0,2,0
RetrouvTout Backend,com.retrouvtout.security.oauth2.user,GoogleOAuth2UserInfo,28,0,0,0,6,0,5,0,5,0
RetrouvTout Backend,com.retrouvtout.security.oauth2.user,FacebookOAuth2UserInfo,44,0,4,0,11,0,7,0,5,0
RetrouvTout Backend,com.retrouvtout.config,OAuth2Config.DevOAuth2SecurityConfig,74,0,0,0,11,0,6,0,6,0
RetrouvTout Backend,com.retrouvtout.config,SecurityConfig,340,0,0,0,51,0,12,0,12,0
RetrouvTout Backend,com.retrouvtout.config,WebSocketConfig.new ChannelInterceptor() {...},65,0,8,0,15,0,6,0,2,0
RetrouvTout Backend,com.retrouvtout.config,SwaggerConfig,79,0,0,0,24,0,3,0,3,0
RetrouvTout Backend,com.retrouvtout.config,DatabaseConfig,107,0,0,0,25,0,4,0,4,0
RetrouvTout Backend,com.retrouvtout.config,RedisConfig,107,0,4,0,33,0,7,0,5,0
RetrouvTout Backend,com.retrouvtout.config,WebSocketConfig,83,0,0,0,16,0,4,0,4,0
RetrouvTout Backend,com.retrouvtout.config,DevSecurityConfig,247,0,0,0,41,0,9,0,9,0
RetrouvTout Backend,com.retrouvtout.config,OAuth2Config,3,0,0,0,1,0,1,0,1,0
RetrouvTout Backend,com.retrouvtout.config,OAuth2Config.ProdOAuth2SecurityConfig,55,0,0,0,11,0,5,0,5,0
